"Genes","GSM972736"
"RAI1","10.6802016475022"
"ZNF697","5.78431592679792"
"CNKSR2","10.5060221460652"
"PTBP2","10.9067727059748"
"B3GNT5","6.56642537195115"
"ADGRA3","7.86354376794987"
"PAXBP1","11.3763961201795"
"SLC8A1","7.61857482226784"
"LTB","13.4079707101502"
"SNAI3","4.73885554286498"
"NCALD","6.10903844567007"
"PAFAH1B1","11.9363098406197"
"SH3BP5","11.9327358521052"
"CTSH","8.06024366792017"
"SELL","13.4124104216339"
"PTPN14","5.29921719461884"
"CD27","12.2751588042155"
"TXK","12.7228365543671"
"MUC1","8.18438310201617"
"FLOT1","11.116168184446"
"ENPP2","7.41916370449861"
"GATA3","12.3170301252038"
"PLA2G4A","3.21490258672688"
"SBNO1","11.2758810175611"
"TRPS1","9.64651194653095"
"FBXO2","8.00555679657445"
"PDE7B","6.08000984747344"
"AHI1","8.39750960926207"
"ABHD6","6.53617042266955"
"CEP85L","12.9190615380691"
"GATA3-AS1","4.36886082617757"
"SH2D1B","4.68550742123537"
"CD8B","7.90040567768778"
"ND6","10.7379656171373"
"CELF1","13.1305093935519"
"IGFBP7","8.9580581401741"
"FAM217A","4.80432394800336"
"MLLT10","11.510107756182"
"AHNAK","11.2913819019507"
"HOPX","6.08317365495896"
"C16orf72","12.0881178016012"
"RPLP2","14.1243889372618"
"VAMP2","11.2518633581091"
"ATXN2L","6.94009809966421"
"RPS19","14.0586128013105"
"EEF1D","13.6925446769107"
"CCL4","8.6726255707212"
"MAP3K8","6.07350569954414"
"MAX","12.9564556140967"
"BOLA2","11.0295436174846"
"LOC100288069","7.23762901940112"
"FAM102A","12.3266948359935"
"NKG7","9.88558649203725"
"POLR2J4","9.3729371541289"
"PRDM1","8.98324186689577"
"C7orf26","10.7684468681409"
"CCNK","11.4015424924308"
"C1orf56","5.79100413834247"
"TMEFF2","10.7395771986559"
"ANKRD19P","8.06670886725445"
"DEFB106A","11.1138044655862"
"NIPA1","7.72205845614363"
"CACNG6","10.876869271531"
"RUFY2","10.1982169521291"
"UHRF1BP1L","9.46397819650883"
"SLC16A1","7.42469023221144"
"TXLNG","11.0332087999939"
"ARID5B","10.9640556947018"
"PCNX4","8.64693114646174"
"MAF","6.85137797122732"
"RAB7A","11.3237499048695"
"ARHGDIA","11.3233499810394"
"PRNP","11.4930084137846"
"AZIN1","11.8980407309494"
"DHX9","11.1253867064962"
"OTUD4","12.0754095622427"
"IRF4","8.45024940828537"
"RAB35","9.66264730229905"
"NCOA2","12.2699730105453"
"LSM12","10.5853202517495"
"SENP5","9.70392255316846"
"PHLDA1","8.05692969852534"
"PRDM8","5.62414774160912"
"SLC12A6","12.5459451835715"
"CTLA4","8.84042253792251"
"TRAPPC9","10.4927047575279"
"SCARNA2","6.33521075882699"
"ZFC3H1","11.6259250447315"
"CEMIP","6.81135418321945"
"UBA1","10.8890426001849"
"ALOX15B","4.95023056966152"
"SPEN","11.6486087877268"
"CX3CR1","7.43616597371892"
"DDX39B","12.9325996879744"
"SCD","7.2475659277605"
"ARNT2","4.29867048342291"
"CXCL1","4.45390855791985"
"ADA","11.4947126391868"
"LTBP2","6.55925112391687"
"SRPX","4.08016645218997"
"S100A12","4.91456700846431"
"ADORA3","7.74707182050046"
"CCR2","6.38430488304806"
"TSC22D3","13.677579369567"
"ADGRE1","9.47278574529044"
"CASP5","5.5507283007649"
"ST7","9.29395398809645"
"FGR","8.59794849813256"
"VAT1","10.6279462704634"
"BANF1","11.3614492299619"
"YWHAE","11.1803214518549"
"PGA3","5.94997200227409"
"HMGN5","5.97822891296441"
"WASF2","12.0885547796676"
"CD163L1","5.53887472251882"
"VSIR","10.6591152241323"
"LOC100287497","7.35329539312809"
"C3orf70","4.27354179837296"
"A2M","5.81252124593275"
"ITGB8","5.2974841401368"
"SPARC","3.86057308022788"
"PKM","9.34062702468239"
"NFKBIA","13.4660775310128"
"PSME2","12.6734290068969"
"CDK2AP1","8.82695009849252"
"DHRS3","10.6541293039564"
"PRKACB","13.1118010825846"
"IVD","9.66349967224274"
"PBX3","11.2818672373114"
"IL2RG","11.8790786702966"
"TYMP","6.37896184392461"
"IL1B","9.32397392287601"
"CSF2RB","6.76243104132197"
"KITLG","4.00607199004993"
"ACOT7","6.79475942909005"
"IFNB1","4.58551608482033"
"NCAPH","5.21184875691435"
"GCSH","8.42377815536567"
"OSR2","5.30451701559962"
"CNIH3","5.41138207119505"
"GALNT12","10.0154639096482"
"FAIM","5.61272396146562"
"TMEM117","5.77008510917464"
"SLC39A10","10.2326877979568"
"TRNP1","5.63033073949618"
"GALM","9.50294218817293"
"ANKRD22","7.39970159675699"
"ACOD1","5.17871421823138"
"MTBP","5.7740479097186"
"RABGAP1L","10.6549395730244"
"CHD6","10.5211725788898"
"BIRC5","7.72486404363498"
"EME2","10.5486247131094"
"RBMX","13.1112322094236"
"TMEM267","10.9844022733469"
"TAF11","11.914352253318"
"TPM4","9.01302530566897"
"AKT2","11.3089323036069"
"EMSY","10.6238561731195"
"HSBP1","10.3335654764556"
"USP7","12.0728907354354"
"RRM2","5.29886936087912"
"CD2BP2","9.15439911401775"
"SEM1","11.1744030179199"
"POLR2A","10.0865145729412"
"CCNA2","8.97723909439226"
"SPC25","3.13445472681672"
"MKI67","8.09505269262215"
"ANGEL2","11.7938224389175"
"ENY2","11.3372459902528"
"KIF18B","5.80941150562943"
"MND1","3.13046181744"
"CDCA5","7.77099126078524"
"DNAJC19","10.6871831516187"
"GRPEL2","10.9484429206901"
"LRCH3","10.7647416119218"
"MS4A4A","6.572752049329"
"TMEM144","4.32104199782626"
"DOCK4","4.95660128856347"
"FCRL2","7.42648749358875"
"TYROBP","5.82925976352894"
"MRC1","6.60955056579586"
"MMP19","9.0546477709915"
"AQP9","8.41479448327501"
"ALDH1A2","6.27171488418792"
"CDC5L","10.1629586509695"
"CCL18","5.78669151698947"
"SH2D1A","10.601082892947"
"TRBC1","13.5905183728503"
"ITK","13.6210700616929"
"IL23A","13.5729951363927"
"SDC2","6.28197412573439"
"CD3D","13.415135426804"
"FPR3","6.08700261318734"
"SLC15A3","7.73690486367882"
"TREM2","7.63391691053494"
"SHTN1","4.34562145697215"
